Date,Number of Injuries,Week,Season
2012-09-05,1,1,2012/2013
2012-09-17,1,2,2012/2013
2012-09-27,1,4,2012/2013
2012-10-22,1,7,2012/2013
2012-10-29,1,8,2012/2013
2012-11-26,1,12,2012/2013
2012-12-13,1,15,2012/2013
2013-01-05,1,18,2012/2013
2013-09-26,1,4,2013/2014
2013-10-03,1,5,2013/2014
2013-10-07,1,5,2013/2014
2013-10-14,1,6,2013/2014
2013-10-21,1,7,2013/2014
2013-10-31,1,9,2013/2014
2013-11-04,1,9,2013/2014
2013-11-11,1,10,2013/2014
2013-12-05,1,14,2013/2014
2013-12-23,1,16,2013/2014
2014-01-11,1,19,2013/2014
2014-09-08,1,1,2014/2015
2014-09-11,1,2,2014/2015
2014-09-25,1,4,2014/2015
2014-10-13,1,6,2014/2015
2014-10-20,1,7,2014/2015
2014-11-06,1,10,2014/2015
2012-10-04,2,5,2012/2013
2012-11-01,2,9,2012/2013
2012-11-12,2,10,2012/2013
2013-01-12,2,19,2012/2013
2013-09-23,2,3,2013/2014
2013-11-14,2,11,2013/2014
2013-12-29,2,17,2013/2014
2014-01-04,2,18,2013/2014
2014-09-04,2,1,2014/2015
2014-10-23,2,8,2014/2015
2013-11-28,3,13,2013/2014
2014-09-14,3,2,2014/2015
2014-09-21,3,3,2014/2015
2012-09-10,4,1,2012/2013
2012-10-21,4,7,2012/2013
2012-12-30,4,17,2012/2013
2013-09-09,4,1,2013/2014
2013-10-20,4,7,2013/2014
2014-11-02,4,9,2014/2015
2012-10-14,5,6,2012/2013
2012-11-04,5,9,2012/2013
2012-11-22,5,12,2012/2013
2013-10-27,5,8,2013/2014
2014-10-05,5,5,2014/2015
2014-11-09,5,10,2014/2015
2012-09-23,6,3,2012/2013
2012-12-09,6,14,2012/2013
2013-09-15,6,2,2013/2014
2014-09-28,6,4,2014/2015
2014-10-12,6,6,2014/2015
2014-10-26,6,8,2014/2015
2012-10-07,7,5,2012/2013
2012-11-11,7,10,2012/2013
2013-09-22,7,3,2013/2014
2013-10-06,7,5,2013/2014
2013-10-13,7,6,2013/2014
2013-11-03,7,9,2013/2014
2013-11-10,7,10,2013/2014
2013-11-17,7,11,2013/2014
2012-09-16,8,2,2012/2013
2012-09-30,8,4,2012/2013
2013-09-29,8,4,2013/2014
2013-12-01,8,13,2013/2014
2014-10-19,8,7,2014/2015
2012-10-28,9,8,2012/2013
2013-09-08,9,1,2013/2014
2013-12-08,10,14,2013/2014
2013-12-15,10,15,2013/2014
2013-12-22,10,16,2013/2014
2012-09-09,11,1,2012/2013
2012-12-16,12,15,2012/2013
2012-12-23,12,16,2012/2013
2012-11-18,13,11,2012/2013
2014-09-07,13,1,2014/2015
2012-11-25,14,12,2012/2013
2013-11-24,14,12,2013/2014
2012-12-02,15,13,2012/2013
2012-09-13,0,2,2012/2013
2012-09-20,0,3,2012/2013
2012-09-24,0,3,2012/2013
2012-10-01,0,4,2012/2013
2012-10-08,0,5,2012/2013
2012-10-11,0,6,2012/2013
2012-10-15,0,6,2012/2013
2012-10-18,0,7,2012/2013
2012-10-25,0,8,2012/2013
2012-11-05,0,9,2012/2013
2012-11-08,0,10,2012/2013
2012-11-15,0,11,2012/2013
2012-11-19,0,11,2012/2013
2012-11-29,0,13,2012/2013
2012-12-03,0,13,2012/2013
2012-12-06,0,14,2012/2013
2012-12-10,0,14,2012/2013
2012-12-17,0,15,2012/2013
2012-12-22,0,16,2012/2013
2013-01-06,0,18,2012/2013
2013-01-13,0,19,2012/2013
2013-01-20,0,20,2012/2013
2013-02-03,0,21,2012/2013
2013-09-05,0,1,2013/2014
2013-09-12,0,2,2013/2014
2013-09-16,0,2,2013/2014
2013-09-19,0,3,2013/2014
2013-09-30,0,4,2013/2014
2013-10-10,0,6,2013/2014
2013-10-17,0,7,2013/2014
2013-10-24,0,8,2013/2014
2013-10-28,0,8,2013/2014
2013-11-07,0,10,2013/2014
2013-11-18,0,11,2013/2014
2013-11-21,0,12,2013/2014
2013-11-25,0,12,2013/2014
2013-12-02,0,13,2013/2014
2013-12-09,0,14,2013/2014
2013-12-12,0,15,2013/2014
2013-12-16,0,15,2013/2014
2014-01-05,0,18,2013/2014
2014-01-12,0,19,2013/2014
2014-01-19,0,20,2013/2014
2014-02-02,0,21,2013/2014
2014-09-15,0,2,2014/2015
2014-09-18,0,3,2014/2015
2014-09-22,0,3,2014/2015
2014-09-29,0,4,2014/2015
2014-10-02,0,5,2014/2015
2014-10-06,0,5,2014/2015
2014-10-09,0,6,2014/2015
2014-10-16,0,7,2014/2015
2014-10-27,0,8,2014/2015
2014-10-30,0,9,2014/2015
2014-11-03,0,9,2014/2015
2014-11-10,0,10,2014/2015
2014-11-13,0,11,2014/2015
2014-11-16,0,11,2014/2015
2014-11-17,0,11,2014/2015
2014-11-20,0,12,2014/2015
2014-11-23,0,12,2014/2015
2014-11-24,0,12,2014/2015
2014-11-27,0,13,2014/2015
2014-11-30,0,13,2014/2015
2014-12-01,0,13,2014/2015
2014-12-04,0,14,2014/2015
2014-12-07,0,14,2014/2015
2014-12-08,0,14,2014/2015
2014-12-11,0,15,2014/2015
2014-12-14,0,15,2014/2015
2014-12-15,0,15,2014/2015
2014-12-18,0,16,2014/2015
2014-12-20,0,16,2014/2015
2014-12-21,0,16,2014/2015
2014-12-22,0,16,2014/2015
2014-12-28,0,17,2014/2015
